layer,source_emotion,eval_vector_emotion,score
20,happy,angry,-0.6089298725128174
20,happy,happy,-0.22465185821056366
20,happy,sad,0.08893166482448578
20,happy,angry,-0.3235968351364136
20,happy,happy,-0.36743706464767456
20,happy,sad,0.29968923330307007
20,happy,angry,-0.4866551160812378
20,happy,happy,-0.573971688747406
20,happy,sad,0.4841323792934418
20,happy,angry,-0.11347528547048569
20,happy,happy,-0.10718585550785065
20,happy,sad,0.40755975246429443
20,happy,angry,-0.7851596474647522
20,happy,happy,0.013580936938524246
20,happy,sad,-0.19563540816307068
20,happy,angry,-0.0649695172905922
20,happy,happy,0.4505050778388977
20,happy,sad,-0.3536033034324646
20,happy,angry,-0.4781346917152405
20,happy,happy,0.2168196141719818
20,happy,sad,0.33167123794555664
20,happy,angry,-0.8650552034378052
20,happy,happy,0.17490220069885254
20,happy,sad,0.1574699729681015
20,happy,angry,-0.667123556137085
20,happy,happy,0.287675142288208
20,happy,sad,-0.11704438924789429
20,happy,angry,-0.629796028137207
20,happy,happy,-0.01587296463549137
20,happy,sad,0.2405359447002411
20,happy,angry,-0.30112287402153015
20,happy,happy,0.6997668743133545
20,happy,sad,-0.02919718623161316
20,happy,angry,-1.0524344444274902
20,happy,happy,-0.11202739924192429
20,happy,sad,0.11043412983417511
20,happy,angry,-0.32268622517585754
20,happy,happy,0.3884388208389282
20,happy,sad,-0.03341895341873169
20,happy,angry,-0.8609562516212463
20,happy,happy,0.40614020824432373
20,happy,sad,0.12220626324415207
20,happy,angry,-0.8102098703384399
20,happy,happy,0.25408387184143066
20,happy,sad,0.4734506607055664
20,happy,angry,-0.6848015785217285
20,happy,happy,0.12195669114589691
20,happy,sad,0.0006597787141799927
20,happy,angry,-0.5667279362678528
20,happy,happy,-0.0034423116594552994
20,happy,sad,0.36939963698387146
20,happy,angry,-0.5947142243385315
20,happy,happy,0.32973819971084595
20,happy,sad,-0.2247643768787384
20,happy,angry,-0.8149333000183105
20,happy,happy,0.05941195785999298
20,happy,sad,0.2241150438785553
20,happy,angry,-0.5403398871421814
20,happy,happy,0.10138863325119019
20,happy,sad,0.40003135800361633
20,happy,angry,-0.7223342657089233
20,happy,happy,0.18294234573841095
20,happy,sad,0.3431567847728729
20,happy,angry,-0.9478064775466919
20,happy,happy,0.02461216412484646
20,happy,sad,0.18209299445152283
20,happy,angry,-0.5612629652023315
20,happy,happy,-0.10775803029537201
20,happy,sad,0.041116274893283844
20,happy,angry,-0.3614562153816223
20,happy,happy,-0.20079822838306427
20,happy,sad,0.2856024205684662
20,happy,angry,-0.4011366367340088
20,happy,happy,-0.210708349943161
20,happy,sad,0.3259578347206116
20,happy,angry,-0.5351044535636902
20,happy,happy,-0.04807988554239273
20,happy,sad,-0.047121159732341766
20,happy,angry,-0.3794142007827759
20,happy,happy,0.8167425394058228
20,happy,sad,-0.2514207065105438
20,happy,angry,-0.8170698881149292
20,happy,happy,-0.0793328732252121
20,happy,sad,0.10174475610256195
20,happy,angry,-0.5262717604637146
20,happy,happy,0.34718847274780273
20,happy,sad,0.10908427089452744
20,happy,angry,-0.73548424243927
20,happy,happy,0.0929727628827095
20,happy,sad,0.40811681747436523
20,happy,angry,-0.8951209187507629
8,sad,happy,-0.5713867545127869
8,sad,sad,0.2722333073616028
8,sad,angry,-0.10050288587808609
8,sad,happy,-0.2414809763431549
8,sad,sad,0.06459423899650574
8,sad,angry,-0.14906272292137146
8,sad,happy,-0.3424259424209595
8,sad,sad,0.26933199167251587
8,sad,angry,-0.06163287162780762
8,sad,happy,-0.2787763476371765
8,sad,sad,0.03547123074531555
8,sad,angry,-0.15523986518383026
8,sad,happy,-0.26770949363708496
8,sad,sad,0.17524901032447815
8,sad,angry,-0.2073410153388977
8,sad,happy,-0.32344838976860046
8,sad,sad,0.15384556353092194
8,sad,angry,-0.16012710332870483
8,sad,happy,-0.08005492389202118
