layer,source_emotion,eval_vector_emotion,score
16,happy,happy,2.331333637237549
16,happy,sad,2.212225914001465
16,happy,angry,2.2141571044921875
16,happy,happy,2.4124765396118164
16,happy,sad,2.2770557403564453
16,happy,angry,2.283346652984619
16,happy,happy,2.2301084995269775
16,happy,sad,2.1458053588867188
16,happy,angry,2.1670899391174316
16,happy,happy,2.1993236541748047
16,happy,sad,2.002033233642578
16,happy,angry,1.9741251468658447
16,happy,happy,2.257932424545288
16,happy,sad,2.2069125175476074
16,happy,angry,2.220404624938965
16,happy,happy,2.2837142944335938
16,happy,sad,2.1330668926239014
16,happy,angry,2.12188720703125
16,happy,happy,1.517122745513916
16,happy,sad,1.435135841369629
16,happy,angry,1.358008623123169
16,happy,happy,2.372544527053833
16,happy,sad,2.2963268756866455
16,happy,angry,2.2914674282073975
16,happy,happy,2.086486577987671
16,happy,sad,1.9746185541152954
16,happy,angry,1.938222885131836
16,happy,happy,2.39224910736084
16,happy,sad,2.351245880126953
16,happy,angry,2.291226863861084
16,happy,happy,2.3304994106292725
16,happy,sad,2.1859683990478516
16,happy,angry,2.189228057861328
16,happy,happy,2.4629971981048584
16,happy,sad,2.351511001586914
16,happy,angry,2.3560800552368164
16,happy,happy,2.5130434036254883
16,happy,sad,2.434342384338379
16,happy,angry,2.4052133560180664
16,happy,happy,2.2208640575408936
16,happy,sad,2.123286724090576
16,happy,angry,2.0541350841522217
16,happy,happy,2.2233834266662598
16,happy,sad,2.1406025886535645
16,happy,angry,2.131028413772583
16,happy,happy,1.8356833457946777
16,happy,sad,1.778739333152771
16,happy,angry,1.7813632488250732
16,happy,happy,1.794793963432312
16,happy,sad,1.8359766006469727
16,happy,angry,1.746107816696167
16,happy,happy,2.384812831878662
16,happy,sad,2.357103109359741
16,happy,angry,2.3356261253356934
16,happy,happy,2.3592724800109863
16,happy,sad,2.280853271484375
16,happy,angry,2.3343300819396973
16,happy,happy,1.8370771408081055
16,happy,sad,1.6174744367599487
16,happy,angry,1.6060402393341064
16,happy,happy,2.0641469955444336
16,happy,sad,2.006397008895874
16,happy,angry,1.9632261991500854
16,happy,happy,2.2338852882385254
16,happy,sad,2.1027309894561768
16,happy,angry,2.067746162414551
16,happy,happy,2.3025312423706055
16,happy,sad,2.2491750717163086
16,happy,angry,2.1770195960998535
20,happy,happy,2.176973342895508
20,happy,sad,2.021625518798828
20,happy,angry,2.0470964908599854
20,happy,happy,2.1900596618652344
20,happy,sad,2.088669776916504
20,happy,angry,2.017667293548584
20,happy,happy,2.6647238731384277
20,happy,sad,2.5431313514709473
20,happy,angry,2.529003143310547
20,happy,happy,2.6571426391601562
20,happy,sad,2.653236150741577
20,happy,angry,2.4935383796691895
20,happy,happy,2.879244327545166
20,happy,sad,2.950279474258423
20,happy,angry,2.825620651245117
20,happy,happy,2.3255553245544434
20,happy,sad,2.420255184173584
20,happy,angry,2.4164390563964844
20,happy,happy,2.772735118865967
20,happy,sad,2.763166666030884
20,happy,angry,2.7680416107177734
20,happy,happy,2.3479442596435547
20,happy,sad,2.207066297531128
20,happy,angry,2.257868766784668
20,happy,happy,2.5727522373199463
20,happy,sad,2.3949012756347656
20,happy,angry,2.4063453674316406
20,happy,happy,3.0638227462768555
20,happy,sad,3.0088448524475098
20,happy,angry,2.9350643157958984
20,happy,happy,3.202392816543579
20,happy,sad,3.132699966430664
20,happy,angry,2.9891409873962402
20,happy,happy,3.124619960784912
20,happy,sad,2.899789333343506
20,happy,angry,2.8726348876953125
20,happy,happy,3.015131950378418
20,happy,sad,2.881071090698242
20,happy,angry,2.9008171558380127
20,happy,happy,3.1393775939941406
20,happy,sad,3.1193575859069824
20,happy,angry,3.092177629470825
20,happy,happy,3.179887056350708
20,happy,sad,2.973836898803711
20,happy,angry,2.9996097087860107
20,happy,happy,2.893676280975342
20,happy,sad,2.5754246711730957
20,happy,angry,2.541013717651367
20,happy,happy,2.5790741443634033
20,happy,sad,2.5459060668945312
20,happy,angry,2.4428551197052
20,happy,happy,3.381739616394043
20,happy,sad,3.3544530868530273
20,happy,angry,3.248715877532959
20,happy,happy,2.6384425163269043
20,happy,sad,2.3251900672912598
20,happy,angry,2.416856288909912
20,happy,happy,2.905770778656006
20,happy,sad,2.610459327697754
20,happy,angry,2.6685855388641357
20,happy,happy,2.3445310592651367
20,happy,sad,2.068842887878418
20,happy,angry,2.0717642307281494
20,happy,happy,2.5979466438293457
20,happy,sad,2.495574474334717
20,happy,angry,2.403203010559082
20,happy,happy,2.7625749111175537
20,happy,sad,2.3509750366210938
20,happy,angry,2.4411611557006836
20,happy,happy,2.025879383087158
20,happy,sad,1.9558712244033813
20,happy,angry,1.9191291332244873
20,happy,happy,2.349355697631836
20,happy,sad,2.2328267097473145
20,happy,angry,2.349285125732422
20,happy,happy,2.696789264678955
20,happy,sad,2.5466978549957275
20,happy,angry,2.4975876808166504
20,happy,happy,3.2480812072753906
20,happy,sad,3.0902795791625977
20,happy,angry,2.9450459480285645
20,happy,happy,3.0140295028686523
